cz,czname,pop2000,fips,statename,stateabbrv,le_raceadj_q1_F,le_raceadj_q2_F,le_raceadj_q3_F,le_raceadj_q4_F,le_raceadj_q1_M,le_raceadj_q2_M,le_raceadj_q3_M,le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
12903,Danville,86667.0,21,Kentucky,KY,82.46951999999999,84.79847,85.29485,86.97588,76.48068,79.85933,81.86001,85.02102,68399,67803,58945,30131,65082,67317,56836,27111
13000,Elizabethtown,176597.0,21,Kentucky,KY,81.13733,83.31549,84.82735,87.11773000000001,75.56108,80.19842,82.70164,83.79236999999999,128652,129674,123210,62384,118843,137413,122554,57217
13101,Louisville,1100767.0,21,Kentucky,KY,80.8892,83.79016,85.73573,87.63631,74.92339,79.73203000000001,82.27792,84.91839,688974,797132,798727,694263,646577,737112,759867,664676
13102,Madison,49985.0,18,Indiana,IN,80.39684,81.18229000000001,85.57255,86.5002,74.57599,77.83981,81.06617,85.88828000000001,35273,35980,34427,18086,32884,38065,34633,16588
13103,Bardstown,66605.0,21,Kentucky,KY,83.2654,85.9241,84.47851999999999,88.00974000000001,75.87415,80.24363000000001,83.52081,85.47365,48634,55428,48626,23044,47428,57772,48518,22057
13200,Owensboro,177640.0,21,Kentucky,KY,81.49511,84.53390999999999,86.20158,85.6022,75.60845,80.2515,82.31685999999999,81.95529,125453,122692,120675,61152,112518,130043,121318,55996
13300,Findlay,246623.0,39,Ohio,OH,81.34929,84.71651,85.97556,86.84451,75.71013,81.06996,82.3865,85.33453,140611,196594,175635,88716,125406,211187,177068,82248
13400,Lima,260393.0,39,Ohio,OH,80.9507,84.87617,86.37288000000001,86.78933,75.28369,80.43148000000001,82.71854,85.31826,142719,200093,199022,102961,125391,219212,200081,93703
13501,Toledo,834343.0,39,Ohio,OH,80.78704,84.1917,85.86024,87.50893,74.94853,79.62952,82.61938,84.19014,453222,565578,599801,469550,389587,544029,617011,451763
13502,Defiance,98981.0,39,Ohio,OH,81.95886,84.64142,86.1417,89.2701,75.02023,80.69059,82.56358,85.5414,57124,79366,76899,35602,49613,89448,79264,31737
13600,South Bend,657906.0,18,Indiana,IN,81.14338000000001,83.57711,85.8505,87.43715,75.22743,79.92851999999999,83.02351,84.98907,403732,434415,462210,324457,351307,449217,461656,302433
13700,Concord,372184.0,18,Indiana,IN,81.25543,84.2615,86.27108,87.85750999999999,75.31747,80.37469,81.86279,84.25579,213146,259077,261534,141777,202595,286499,257964,130568
13800,Wayne,129528.0,18,Indiana,IN,81.35262,84.76279,84.62796,87.46761,75.09640999999999,80.04863,83.24135,84.27412,71079,91907,100275,59246,63323,102332,99676,54314
13900,Center,192308.0,18,Indiana,IN,79.81560999999999,84.34796,85.2513,87.89998,74.43361,79.48064000000001,82.45509,83.67759000000001,108809,127763,147014,100353,95299,130992,148103,95580
14000,Muncie,415487.0,18,Indiana,IN,81.10067,83.67538,86.06438,86.29839,73.69162,80.19634,82.03732,84.72671,259464,281467,280389,171732,219211,284867,275131,156602
